trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
80,False,"{'a': 0.002, 'e': 0.8521437889662113}",20,0,-182.75893191006355,"{0: 10, 1: 4, 2: 0, 3: 3, 4: 3}",0
81,False,"{'a': 0.002, 'e': 0.850441204540233}",25,0,-216.15502824018424,"{0: 13, 1: 3, 2: 5, 3: 0, 4: 4}",0
82,False,"{'a': 0.002, 'e': 0.8487420218802068}",20,9,-44.746309458042774,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 1}",1
83,False,"{'a': 0.002, 'e': 0.8470462341893996}",25,0,-184.57422029270325,"{0: 14, 1: 2, 2: 3, 3: 4, 4: 2}",0
84,False,"{'a': 0.002, 'e': 0.8453538346846587}",25,0,-191.86988965398552,"{0: 15, 1: 4, 2: 1, 3: 1, 4: 4}",0
85,False,"{'a': 0.002, 'e': 0.8436648165963837}",25,0,-128.79387283186549,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
86,False,"{'a': 0.002, 'e': 0.8419791731684999}",20,9,-52.05692359276808,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 1}",1
87,False,"{'a': 0.002, 'e': 0.8402968976584314}",25,0,-127.38565099079422,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
88,False,"{'a': 0.002, 'e': 0.838617983337074}",25,0,-135.7602762937969,"{0: 15, 1: 1, 2: 7, 3: 0, 4: 2}",0
89,False,"{'a': 0.002, 'e': 0.8369424234887681}",25,0,-174.4638848198719,"{0: 13, 1: 5, 2: 3, 3: 1, 4: 3}",0
90,False,"{'a': 0.002, 'e': 0.835270211411272}",35,0,-62.100270639757014,"{0: 24, 1: 4, 2: 7, 3: 0, 4: 0}",0
91,False,"{'a': 0.002, 'e': 0.8336013404157353}",25,10,-137.5027340125165,"{0: 6, 1: 2, 2: 4, 3: 1, 4: 2}",1
92,False,"{'a': 0.002, 'e': 0.8319358038266718}",25,8,-8.860719385525313,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 0}",1
93,False,"{'a': 0.002, 'e': 0.8302735949819326}",20,7,-46.11111764178447,"{0: 8, 1: 0, 2: 4, 3: 1, 4: 0}",1
94,False,"{'a': 0.002, 'e': 0.8286147072326806}",30,0,-187.9658812299529,"{0: 18, 1: 3, 2: 5, 3: 1, 4: 3}",0
95,False,"{'a': 0.002, 'e': 0.8269591339433623}",30,0,-98.52294581012066,"{0: 21, 1: 1, 2: 6, 3: 1, 4: 1}",0
96,False,"{'a': 0.002, 'e': 0.8253068684916823}",20,0,-162.819280265701,"{0: 10, 1: 1, 2: 5, 3: 2, 4: 2}",0
